ell,keygen,auth,dele,enc,trapdoor,test
1,0.05524335861206055,0.03251911163330078,8.220672607421874e-06,0.019457273483276367,0.009312572479248047,0.009321842193603515
2,0.11593874931335449,0.0989352035522461,7.7056884765625e-06,0.047973737716674805,0.02374772071838379,0.011087379455566405
3,0.20899396896362304,0.2504191303253174,9.288787841796875e-06,0.09464302062988281,0.047754945755004885,0.01580187797546387
4,0.3301561737060547,0.47882933616638185,1.056671142578125e-05,0.1390094757080078,0.07070107460021972,0.019012880325317384
5,0.486257381439209,0.8309253406524658,9.069442749023437e-06,0.18700578689575195,0.09549116134643555,0.022362146377563476
6,0.6598252391815186,1.3107469367980957,7.791519165039062e-06,0.26112692832946777,0.1356487274169922,0.026700077056884767
7,0.8843477916717529,1.9218733310699463,1.0623931884765626e-05,0.32653748512268066,0.17202773094177246,0.03035329818725586
8,1.1137933540344238,2.749124460220337,7.944107055664063e-06,0.4175842571258545,0.21377815246582033,0.03427750587463379
9,1.3882962989807128,3.763324203491211,8.287429809570312e-06,0.5032598304748536,0.2715480899810791,0.03906563758850098
10,1.7218212699890136,4.9784454917907714,1.220703125e-05,0.6028354740142823,0.31868000984191897,0.04275576591491699
11,2.05250864982605,6.486771287918091,1.216888427734375e-05,0.7130435180664062,0.3746912479400635,0.047336702346801755
12,2.4008736705780027,8.178973627090453,1.41143798828125e-05,0.8325341320037842,0.43818107604980466,0.04990499496459961
13,2.8227730274200438,10.246423263549804,9.012222290039062e-06,0.9856509494781495,0.507924222946167,0.053076553344726565
14,3.2269759368896485,12.762247533798218,1.01470947265625e-05,1.1464620876312255,0.5859800720214844,0.05586674690246582
15,3.6458653163909913,15.809982624053955,9.183883666992188e-06,1.331393747329712,0.6970371532440186,0.06283736228942871
16,4.229733982086182,19.172402563095094,1.529693603515625e-05,1.502370948791504,0.7887480545043946,0.06477091789245605
17,4.63687497138977,22.544348182678224,9.059906005859375e-06,1.7023779582977294,0.8797041416168213,0.06985393524169922
18,5.3265636539459225,26.201411752700807,9.660720825195313e-06,1.8730958271026612,0.9645858478546142,0.07283766746520996
19,5.812830018997192,30.798350238800047,9.431838989257813e-06,2.095954904556274,1.1049238014221192,0.07873771667480468
20,6.458044910430909,34.901655254364016,1.129150390625e-05,2.210317459106445,1.1450589942932128,0.08122295379638672
21,7.001561937332153,40.465955591201784,1.171112060546875e-05,2.403511714935303,1.2847414112091065,0.08412617683410645
22,7.581835632324219,45.428882961273196,8.573532104492188e-06,2.634559669494629,1.367930154800415,0.08584071159362792
23,8.133447618484498,51.756577005386355,8.363723754882812e-06,2.87080078125,1.4942294311523439,0.08977633476257324
24,8.672194900512695,58.9653098487854,9.851455688476563e-06,3.1347294902801512,1.6270251941680909,0.09474997520446778
25,9.548311901092529,67.26342742919923,1.16729736328125e-05,3.467996530532837,1.81250018119812,0.10136940956115723
