ell,auth,enc,trapdoor,test
1,0.0025574922561645507,2.0194053649902344e-05,1.7571449279785157e-05,0.007051825523376465
2,0.002525806427001953,1.4543533325195312e-05,1.4233589172363282e-05,0.007038187980651855
3,0.0026179790496826173,1.5497207641601562e-05,2.1076202392578126e-05,0.007122516632080078
4,0.0025858163833618166,1.873970031738281e-05,1.590251922607422e-05,0.007120537757873535
5,0.0025610923767089844,2.4271011352539062e-05,1.8978118896484374e-05,0.007025957107543945
6,0.0025875091552734373,1.9431114196777344e-05,1.823902130126953e-05,0.007043886184692383
7,0.002576184272766113,1.6689300537109375e-05,2.6798248291015626e-05,0.007106399536132813
8,0.0026667118072509766,2.956390380859375e-05,2.276897430419922e-05,0.007272028923034668
9,0.0026626825332641602,2.5582313537597656e-05,2.1266937255859376e-05,0.0071230649948120115
10,0.0025922536849975588,2.4771690368652345e-05,2.2172927856445312e-05,0.007122516632080078
11,0.002568840980529785,2.0170211791992186e-05,2.4652481079101564e-05,0.0071153402328491214
12,0.002629709243774414,2.6488304138183592e-05,2.5534629821777342e-05,0.006929421424865722
13,0.0025740623474121093,2.2792816162109374e-05,2.4008750915527344e-05,0.007001614570617676
14,0.002540111541748047,2.593994140625e-05,2.4700164794921874e-05,0.0069854736328125
15,0.0026414155960083007,2.384185791015625e-05,2.658367156982422e-05,0.00704193115234375
16,0.00265200138092041,2.155303955078125e-05,3.325939178466797e-05,0.007036781311035157
17,0.002542996406555176,2.1958351135253905e-05,2.7394294738769533e-05,0.0073690652847290036
18,0.0026399850845336913,2.269744873046875e-05,2.815723419189453e-05,0.007309842109680176
19,0.002558279037475586,2.2625923156738283e-05,2.906322479248047e-05,0.007409238815307617
20,0.0025690555572509765,2.3412704467773438e-05,3.8743019104003906e-05,0.00697786808013916
21,0.0028281927108764647,2.467632293701172e-05,3.259181976318359e-05,0.006997227668762207
22,0.002544140815734863,2.9468536376953124e-05,3.135204315185547e-05,0.006883931159973144
23,0.0025064229965209963,3.204345703125e-05,3.483295440673828e-05,0.006901359558105469
24,0.0026246786117553713,3.130435943603516e-05,3.330707550048828e-05,0.006969165802001953
25,0.002524113655090332,2.446174621582031e-05,3.9958953857421874e-05,0.007054805755615234
26,0.002534008026123047,3.5142898559570314e-05,4.3964385986328126e-05,0.006990790367126465
27,0.0025394678115844725,2.8371810913085938e-05,3.70025634765625e-05,0.007086038589477539
28,0.002566814422607422,3.1876564025878904e-05,3.674030303955078e-05,0.007073712348937988
29,0.0025600910186767576,2.7728080749511718e-05,3.888607025146484e-05,0.007028007507324218
30,0.0026417970657348633,2.8705596923828126e-05,4.5919418334960936e-05,0.007033348083496094
31,0.0026424884796142577,4.4226646423339844e-05,5.705356597900391e-05,0.007574653625488282
32,0.0027994871139526366,4.024505615234375e-05,5.238056182861328e-05,0.007069611549377441
33,0.0026143074035644533,3.077983856201172e-05,4.320144653320312e-05,0.0068934917449951175
34,0.0025282859802246093,2.86102294921875e-05,5.0401687622070314e-05,0.006926631927490235
35,0.0025156736373901367,3.478527069091797e-05,5.9938430786132814e-05,0.0069239139556884766
36,0.002561664581298828,3.5715103149414065e-05,4.363059997558594e-05,0.006949377059936523
37,0.002583742141723633,3.662109375e-05,4.4512748718261716e-05,0.006981348991394043
38,0.0025533199310302734,4.2605400085449216e-05,4.5251846313476565e-05,0.007067632675170898
39,0.0025930166244506835,3.7717819213867185e-05,5.176067352294922e-05,0.007034730911254883
40,0.0026415586471557617,3.235340118408203e-05,5.2857398986816404e-05,0.006934547424316406
41,0.0025291681289672852,3.1280517578125e-05,4.7659873962402345e-05,0.007006645202636719
42,0.0025566816329956055,3.3020973205566406e-05,5.934238433837891e-05,0.006994962692260742
43,0.002555561065673828,4.31060791015625e-05,5.166530609130859e-05,0.006945514678955078
44,0.0026123046875,4.055500030517578e-05,5.631446838378906e-05,0.006987977027893067
45,0.0025780439376831056,3.4809112548828125e-05,5.1403045654296874e-05,0.00695958137512207
46,0.0025587081909179688,3.9458274841308594e-05,5.3834915161132815e-05,0.006896877288818359
47,0.0025835037231445312,3.943443298339844e-05,6.687641143798828e-05,0.007023668289184571
48,0.002578449249267578,3.745555877685547e-05,5.359649658203125e-05,0.006992077827453614
49,0.002570319175720215,3.554821014404297e-05,6.418228149414062e-05,0.007052040100097657
50,0.002543354034423828,5.319118499755859e-05,5.91278076171875e-05,0.00690770149230957
51,0.0025383949279785155,4.649162292480469e-05,7.350444793701172e-05,0.006935811042785645
52,0.002579784393310547,3.9243698120117186e-05,6.37054443359375e-05,0.006924104690551758
53,0.002576303482055664,3.690719604492188e-05,5.8150291442871095e-05,0.006998252868652344
54,0.002550220489501953,3.8003921508789064e-05,5.879402160644531e-05,0.007010936737060547
55,0.0027144432067871095,4.3964385986328126e-05,6.020069122314453e-05,0.006994056701660156
56,0.002588844299316406,3.8790702819824216e-05,6.649494171142578e-05,0.007044839859008789
57,0.002511405944824219,3.821849822998047e-05,6.728172302246093e-05,0.007007718086242676
58,0.0026805639266967774,3.981590270996094e-05,8.50677490234375e-05,0.007259726524353027
59,0.0025482177734375,3.926753997802734e-05,6.31570816040039e-05,0.007066249847412109
60,0.0025929927825927733,4.084110260009766e-05,8.831024169921874e-05,0.006989693641662598
61,0.002538299560546875,3.983974456787109e-05,7.214546203613282e-05,0.007000231742858886
62,0.002762889862060547,4.3010711669921876e-05,6.821155548095704e-05,0.007401156425476074
63,0.0025765180587768556,6.7901611328125e-05,9.407997131347657e-05,0.007101082801818847
64,0.0026272296905517577,4.863739013671875e-05,7.033348083496094e-05,0.007108354568481445
65,0.002733922004699707,7.758140563964843e-05,9.388923645019532e-05,0.007029223442077637
