ell,keygen,auth,dele,enc,trapdoor,test
1,0.0461392879486084,0.028435134887695314,8.630752563476563e-06,0.017328882217407228,0.008407402038574218,0.006592321395874024
2,0.10987939834594726,0.09714841842651367,1.3589859008789062e-05,0.049768590927124025,0.02407832145690918,0.01018819808959961
3,0.18293638229370118,0.2174147605895996,7.82012939453125e-06,0.08415107727050782,0.0398249626159668,0.013846683502197265
4,0.30471124649047854,0.38202824592590334,7.677078247070313e-06,0.10611481666564941,0.053885459899902344,0.017462873458862306
5,0.43267455101013186,0.664418077468872,7.677078247070313e-06,0.1489785671234131,0.07587962150573731,0.02107377052307129
6,0.5899676322937012,1.0515759944915772,7.724761962890625e-06,0.20153279304504396,0.10191588401794434,0.024533462524414063
7,0.7927688121795654,1.5985709190368653,7.677078247070313e-06,0.2563191890716553,0.131681489944458,0.02863731384277344
8,0.9924613475799561,2.341831827163696,7.677078247070313e-06,0.34006285667419434,0.1780226230621338,0.031429481506347653
9,1.2552077293395996,3.097051811218262,7.82012939453125e-06,0.39291720390319823,0.2085419178009033,0.03598141670227051
10,1.5204174995422364,4.1416154384613035,1.3589859008789062e-05,0.4696402072906494,0.24437150955200196,0.03880534172058105
11,1.7990262985229493,5.281424188613892,1.4162063598632812e-05,0.5541867256164551,0.2928622722625732,0.044930553436279295
12,2.1538007736206053,6.8244300365448,7.772445678710938e-06,0.6721678256988526,0.3499011039733887,0.045839881896972655
13,2.4761738777160645,8.290069532394408,7.724761962890625e-06,0.7500123977661133,0.38924493789672854,0.050226783752441405
14,2.8404635906219484,9.938513708114623,7.963180541992187e-06,0.8266100883483887,0.4316864490509033,0.05332655906677246
15,3.192346429824829,11.759725093841553,7.724761962890625e-06,0.9047501087188721,0.4709155082702637,0.05693206787109375
16,3.617285060882568,14.777375268936158,1.4019012451171874e-05,1.0831466674804688,0.5648767471313476,0.06068849563598633
17,4.0474052906036375,18.209528827667235,8.058547973632812e-06,1.280111265182495,0.6654271125793457,0.06414461135864258
18,4.513451814651489,21.197636318206786,8.249282836914063e-06,1.4064026832580567,0.7274934768676757,0.068080472946167
19,5.118619155883789,24.300299882888794,7.82012939453125e-06,1.5057438850402831,0.7864909648895264,0.07149462699890137
20,5.638484764099121,28.589633083343507,2.3698806762695314e-05,1.6940195560455322,0.8850639820098877,0.07437686920166016
21,6.215884113311768,33.29303126335144,8.535385131835937e-06,1.8958688735961915,0.9883652687072754,0.07846641540527344
22,6.77269549369812,37.89557271003723,8.058547973632812e-06,2.0599433898925783,1.0695300579071045,0.08199477195739746
23,7.415245103836059,43.44427409172058,8.726119995117188e-06,2.2951178550720215,1.2259358882904052,0.08675708770751953
24,8.249346017837524,50.245807361602786,8.344650268554688e-06,2.4922712802886964,1.3015114784240722,0.0901674747467041
25,8.624749898910522,54.575723361969,8.392333984375e-06,2.635614204406738,1.3787458419799805,0.09193878173828125
